layout,pitch_ratio,baffle_ratio,U,A_provided,dP_shell_kPa,dP_tube_kPa,Ds_mm,Nt,Nb,Re_shell,ho
triangular,1.25,0.2,781.7260190145529,10.513980700139575,3125.676542037825,10.87152516694316,231.4035753891629,36,104.44348746109608,9472.727619417992,2109.06258078794
triangular,1.25,0.25,733.8697202246349,11.098090739036218,1576.918485610732,9.844056785274217,235.90249368382464,38,81.74605196061327,7291.889905644638,1826.3762279467908
triangular,1.25,0.3,693.1609550987096,11.682200777932863,893.3289151872056,8.960049932455291,240.27368695233287,40,66.70057459472771,5857.489182869542,1619.0844863604846
triangular,1.25,0.35,657.7890655196392,12.266310816829504,548.5925582868273,8.193663031659224,244.5269084378734,42,56.01972528066205,4847.566958641118,1459.0369424787955
triangular,1.25,0.39999999999999997,626.5780972389787,12.850420855726146,357.5673719177766,7.524658700757916,248.67074252428006,44,48.06085804930912,4101.434701031378,1330.892200554901
triangular,1.25,0.44999999999999996,598.7137316456975,13.43453089462279,244.0044172296548,6.93700050778475,252.71279109463273,46,41.91213118841916,3530.028507822361,1225.4799384712094
triangular,1.25,0.49999999999999994,573.60494409469,14.018640933519434,172.7017068155232,6.417844214960007,256.65982343088837,48,37.02698789991223,3080.0615021995595,1136.9355669493384
triangular,1.25,0.5499999999999999,550.8071047274966,14.602750972416079,125.93187259595916,5.956801451022314,260.5178979988062,50,33.0580334053207,2717.7365486230565,1061.3099462416103
triangular,1.25,0.5999999999999999,529.9761301786434,15.186861011312722,94.13442672272329,5.545394707909986,264.2924622973224,52,29.773989021993142,2420.6074778104985,995.8331813305065
triangular,1.25,0.6499999999999999,510.8396037537917,15.770971050209361,71.8590262206408,5.176648780079727,267.98843540943574,54,27.01498615498826,2173.200079013788,938.4973071000059
triangular,1.25,0.7,493.17775972504165,16.355081089106005,55.85239509806969,4.844780884984163,271.6102767769876,56,24.667027971672216,1964.5122395927062,887.8064493023037
triangular,1.25,0.7499999999999998,476.8104971321956,16.93919112800265,44.09606260309154,4.544963082619336,275.1620439050259,58,22.646672245654962,1786.515787005335,842.6203843284364
triangular,1.25,0.7999999999999998,461.58823591770846,17.52330116689929,35.295587698289346,4.273138300976255,278.6474410955943,60,20.891462473209305,1633.2214302581178,802.0528337055388
triangular,1.25,0.8499999999999999,447.3853091545748,18.107411205795934,28.596768645658134,4.025876548860585,282.0698608561653,62,19.353739506808953,1500.0746808832375,765.4031999939097
triangular,1.25,0.8999999999999999,434.0950802280181,18.691521244692577,23.42165367571272,3.8002615670257174,285.43241928316144,64,17.996518460795937,1383.5538545469499,732.1094738465442
triangular,1.25,0.9499999999999997,421.6262641232378,19.27563128358922,19.370488165767746,3.59380075477247,288.7379864569411,66,16.790669555802303,1280.8955674346391,701.7149619514764
triangular,1.25,0.9999999999999998,409.9001085030278,19.859741322485863,16.16130260338899,3.404353054079226,291.9892126805246,68,15.712946191403915,1189.9030042693857,673.84428236866
triangular,1.33,0.2,676.8089494436724,12.266310816829504,1248.4505014261683,8.193663031659224,244.5269084378734,42,98.78451924115858,9024.474741013044,1556.0296960337644
triangular,1.33,0.25,631.0228070139557,12.850420855726146,635.3127923558769,7.524658700757916,248.67074252428006,44,77.49737287889458,6980.971300620863,1351.1063540348305
triangular,1.33,0.3,584.4654159329658,14.018640933519434,343.4734732521848,6.417844214960007,256.65982343088837,48,62.378313166520364,5460.950079654265,1180.4112259303283
triangular,1.33,0.35,552.2834548171278,14.602750972416079,212.88830139114134,5.956801451022314,260.5178979988062,50,52.51976677978968,4543.2022256305345,1066.8047853144508
triangular,1.33,0.39999999999999997,517.4087761730892,15.770971050209361,133.26271230996485,5.176648780079727,267.98843540943574,54,44.52435250185593,3756.7573594608148,960.9107405071478
triangular,1.33,0.44999999999999996,493.0627676200488,16.355081089106005,91.80787824388904,4.844780884984163,271.6102767769876,56,38.926487955934554,3250.875470954948,887.4338717991413
triangular,1.33,0.49999999999999994,465.5971624886408,17.52330116689929,62.71192547064483,4.273138300976255,278.6474410955943,60,34.02633995713489,2779.8740595147788,814.2347512739011
triangular,1.33,0.5499999999999999,446.3389226606537,18.107411205795934,46.16795222339186,4.025876548860585,282.0698608561653,62,30.455779237795653,2466.205065607463,762.3455498733788
triangular,1.33,0.5999999999999999,423.98828286941125,19.27563128358922,33.43564731526812,3.59380075477247,288.7379864569411,66,27.16856013002031,2157.4768584052426,708.2819883700498
